id,accountId,puuid,,profileIconId,revisionDate,summonerLevel,champ1,champ2,champ3,lane,gender,born_year,game_started_year,MBTI
Jnun4UcXmdDjLuO3GAAVmnqdBGwvOeFWbpwYsCoKzlD30w,SQkppjUWKwIWo2Y7DJKhQe8BXoVuzokez9Tyha8ThxdL,EgMsZhCWIZCBNYZCL9g7NiQKrmEPwwNZxkEUOipHlQBs06Ii3zQSJ6zziSRlkHFXD7lv75yeqMsYRA,,4782,1.61E+12,372,22,21,81,ADC,man,1989,2012,INTJ
dmj6NYruAzdW6d52xAPUslkmDVWkKC8mRxm_qhw1HA4VR4o,oCcfHEIWL1pndPUKbp6X9wYI_C-eqUeM7GKNByqlL4CrpNo,90qAHw4qle5YFRPcxpdzUslQhgzvq4QQt2_qnhyQI7371sq_IokLSrdl4K61J1PgwxDMrvMxOgAhjg,,2095,1.61E+12,174,22,51,21,ADC,man,1996,2016,INFP
Xbanr_MmIBaZEkZwr6xMJUQA7xIi8EAPsL325u1QpW0vGQ,xNSDHNb8o_hKvXNGOvqASJXl9OC3G02EkH0IlhwmHJCC,nJ1I7mcCtx2qOmkaDa-ExoxiqncnYv_gy5eVt84YHxLO01HWcccI7rJx1zfSiFnRxaSzXYhSyfVpog,,4509,1.61E+12,362,64,102,76,JUNGLE,man,1991,2013,ESFP
4FZdYcd876xAFxByIQROHQi0MM6JWNfLjAjV0TJyxf7bkfM,6yXewT7CvWT4vGglsIakU3YwfZi59S9vcrA1prWDtuCf5GY,z9gNVLpLzusWf3LAjD0JB8IFhuifWmK7m3bNMqWeTl1mQ-qNFO3EltBLGlSAwp123OOQld24lNzwUA,,4568,1.61E+12,281,81,21,51,ADC,man,2002,2015,ISTP
nOAl8xheGASd0WwAeTZ9MMqJXK2khy5TlvbkpGhOBdU174U,24yA0eSYdst3FbVZyXuNpk4GXOVHptx_UOH8EbcswY4iCkI,XB6Sip6rK1lwOwHXEznhqPFgZ8eu_pLDCm8S1u2vA6CgpaRp6JOIT9y9Ggh6q9IYIg9UCanQdMB3Sw,,4762,1.61E+12,85,81,145,236,ADC,man,2002,2014,INFP
e7PVDZESI5aZYI0hTuzw72cOWZy0xGuWoNz6IiyzyFwICZ0,a4tg6YwCZEtKwws0sNN55OWKwehHztccU1ZyokfRW03YGFw,X2i0pacjCh_NbO-mxLXIPSmmbNK3XdoO3zMnOLc4MDTZe-pokbIMiNIYi9o9vwemGVJ-_Li84OG_PA,,4804,1.61E+12,249,142,1,235,ADC,man,1996,2013,INFP
I3nUw-OxfDKNr-K-PxpdiAGhXTLFHP-_2vdGQrUTVvQznQ,B03sTkEpO44aJzSR5sVrTnMjb_4vo6YgEQJli7cQNKI,x6OZs2TFDtWrvu_7eKmGGJdJUPqUwJlw92rWISRmaRnp3SWZs8yU7IlvDbW_Ihi4RjApbjzVB-DcyQ,,4571,1.61E+12,120,86,10,57,TOP,man,1987,2012,ENFP
OjQI1mzQVLY9T5pvZdF4VUeOyPqyQSJCpNpDqckTmFPcAXc,75pF_6gSjGSx3E6Xd7OyQy0pD89IDcrlAmlYbYPVv__61cQ,BXOcvadZ9U4LHimfhDI79JezqJQ0lwUPJnAavspu1ZBzdM5yuUoH2ILBRHTpGIjngDMNM1rsF4nE9g,,4821,1.61E+12,246,412,37,523,SUPPORT,man,2000,2013,ISTJ
HTPfcCvSSsT2rHGWrCInAP0SHhaCSTkRU8aSdrhIGJO4Ug,dUk9T4eXn_ZW-zyk7VyhX8GvHZqYWVpT8F12iXkHwTMy,tHhwmS5Euph629LKdUg5CfXflUeMtAL4uGfW2f6YG8w-nQjb7JvUKQGLnHkPjQduYsU_dR9qi-VJ0Q,,4757,1.61E+12,188,875,266,517,TOP,man,1998,2013,ISFP
iI8k0ospdA9eF9smqz9T7cYfy6fsbpzuff5wFQwC2lJTvVU,B4sCuDGUADKlSxs8BOXNFWB5GEDT5UOBdEz4PmZjGvpzvwyr_vB_vr6Z,KqPzY8XZOLsu3ZhBAwuadE2odYWfeo3HkVBwOgqctiAnGdXhTFJMTRZK5yopztdLUgmNODTkcxg5NQ,,4757,1.61E+12,195,3,20,80,MID,man,2001,2019,ISTP
